X,Y,id,nama,npsn,ptk,ptk_laki,ptk_perempuan,pegawai,pegawai_laki,pegawai_perempuan,pd,pd_laki,pd_perempuan,rombel,kabupaten,kode_kabupaten,provinsi,kode_provinsi,alamat,status,jenjang,akreditasi,source,location_status
102.4137,-3.2298,"13017",SMAN 4 LEBONG,"10703077",14,7,7,8,5,3,183,88,95,7,Lebong,"1707",Bengkulu,"17",JL. SUKA NEGERI,negeri,SMA,B,kemdikbud,valid
0,0,"13023",KB OSWATUN HASANAH,"69792450",1,1,0,1,0,1,26,13,13,1,Lebong,"1707",Bengkulu,"17",Jalan Raya Pelabuhan Talang Liak,swasta,KB,B,kemdikbud,not-mapped
0,0,"13024",SPS AISYIYAH II,"69924894",0,0,0,2,0,2,27,11,16,1,Lebong,"1707",Bengkulu,"17",JALAN RAYA CURUP - MUARA AMAN,swasta,SPS,C,kemdikbud,not-mapped
0,0,"13034",SPS AKHLAK MULIA,"69912083",0,0,0,0,0,0,0,0,0,0,Lebong,"1707",Bengkulu,"17",Jln. Suka Bumi Kec. Lebong Sakti,swasta,SPS,C,kemdikbud,not-mapped
102.2367,-3.1409,"13035",SDN 25 LEBONG,"10701940",16,3,13,3,1,2,212,101,111,10,Lebong,"1707",Bengkulu,"17",Suka Bumi,negeri,SD,C,kemdikbud,valid
102.2913702,-3.0914388,"13038",SDIT AL AZHAR,"70003940",9,2,7,2,1,1,222,122,100,10,Lebong,"1707",Bengkulu,"17",DESA SUKA BUMI KECAMATAN LEBONG SAKTI,swasta,SD,,kemdikbud,valid
102.2459,-3.1322,"13039",SLBN  1 LEBONG,"10703434",11,3,8,5,2,3,63,41,22,33,Lebong,"1707",Bengkulu,"17",Jl.raya Curup Muara Aman,negeri,SLB,C,kemdikbud,valid
102.2397,-3.1238,"13040",SMPN 15 LEBONG,"10703084",14,7,7,4,2,2,75,45,30,3,Lebong,"1707",Bengkulu,"17",JALAN DESA TABEAK KAUK,negeri,SMP,A,kemdikbud,valid
0,0,"13042",KB IT SERINDANG BULAN,"70003956",0,0,0,2,0,2,0,0,0,0,Lebong,"1707",Bengkulu,"17",Jl. Raya Tubei - Arga Makmur Komplek Mesjid Agung Sultan Mahmud Abdullah Islamic,swasta,KB,,kemdikbud,not-mapped
0,0,"13050",KB EDUKASIA,"69934338",1,0,1,1,0,1,38,16,22,2,Lebong,"1707",Bengkulu,"17",JALAN RAYA TALANG BUNUT,swasta,KB,C,kemdikbud,not-mapped
0,0,"13051",KASIH BUNDA,"69780894",1,0,1,2,1,1,31,17,14,2,Lebong,"1707",Bengkulu,"17",SEMALO OGAN,swasta,KB,C,kemdikbud,not-mapped
0,0,"13052",KB MELATI,"69792457",1,1,0,1,0,1,29,21,8,1,Lebong,"1707",Bengkulu,"17",M. THOHA,swasta,KB,B,kemdikbud,not-mapped
0,0,"13054",KB MENTARI,"69792464",1,0,1,1,0,1,1,0,1,1,Lebong,"1707",Bengkulu,"17",RADEN KARNA,swasta,KB,C,kemdikbud,not-mapped
0,0,"13056",MELATI,"69919440",2,1,1,1,0,1,54,29,25,2,Lebong,"1707",Bengkulu,"17",M. THOHA,swasta,SPS,C,kemdikbud,not-mapped
0,0,"13063",KB CERIA,"69792458",1,0,1,1,0,1,23,10,13,2,Lebong,"1707",Bengkulu,"17",RAYA KOTA BARU,swasta,KB,C,kemdikbud,not-mapped
